# lang=en
free	unfree
employment	disemployment
employment	unemployment
stale	fresh
definite	indefinite
heterosexual	homosexual
advance	regress
advance	retract
advance	retreat
advantage	disadvantage
advantage	drawback
adventurous	timid
adventurous	unadventurous
adventurous	shy
adventurous	nervous
adventurous	safe
advisability	inadvisability
affluent	indigent
spear	distaff
tangible	intangible
fils	père
aft	forward
aft	fore
afterwards	beforehand
agent	undergoer
agent	patient
agent	recipient
aggressive	passive
agile	unagile
agony	ecstasy
register	unregister
register	deregister
agree	disagree
ahead	astern
ahead	behind
wisdom	foolishness
wisdom	folly
sham	genuine
sham	sincere
sham	real
mixed-interval chord	equal-interval chord
equal-interval chord	mixed-interval chord
alive	dead
alkali	acid
allow	ban
allow	forbid
allow	prohibit
always	never
cacophony	euphony
cacophony	harmony
migratory	sedentary
ambitious	nonambitious
ambitious	unambitious
exclude	include
expel	impel
impel	expel
knot	unknot
knot	unbind
knot	loosen
knot	untie
public	nonpublic
public	private
public	unpublic
private	public
